SR,events,acceptance,err
EwkWhAllHad2016__All,50000,51367.2,53191.4
EwkWhAllHad2016__loose_inclb,17709,0.358692,0.00271079
EwkWhAllHad2016__loose_Geq2b,10833,0.21848,0.00211007
EwkWhAllHad2016__loose_Eq2b,10369,0.209063,0.00206381
EwkWhAllHad2016__SR1,739,0.0143911,0.000529406
EwkWhAllHad2016__SR2,865,0.0169153,0.000575703
EwkWhAllHad2016__SR3,1326,0.0259193,0.0007124
EwkWhAllHad2016__CR1_ttbar,2,3.89354e-05,2.75315e-05
EwkWhAllHad2016__CR2_ttbar,2,3.89354e-05,2.75315e-05
EwkWhAllHad2016__CR3_ttbar,3,5.8403e-05,3.3719e-05
EwkWhAllHad2016__CR1_singletop,0,0,0
EwkWhAllHad2016__CR2_singletop,0,0,0
EwkWhAllHad2016__CR3_singletop,0,0,0
EwkWhAllHad2016__CR1_Zjets,0,0,0
EwkWhAllHad2016__CR2_Zjets,0,0,0
EwkWhAllHad2016__CR3_Zjets,0,0,0
EwkWhAllHad2016__VR1_ttbar_mbb_mct,5,9.73384e-05,4.35311e-05
EwkWhAllHad2016__VR2_ttbar_mbb_mct,5,0.000100186,4.48769e-05
EwkWhAllHad2016__VR3_ttbar_mbb_mct,25,0.000505974,0.000101551
EwkWhAllHad2016__VR1_mbbL105orG135_mnonbbL75orG90,389,0.00794377,0.000404986
EwkWhAllHad2016__VR2_mbbL105orG135_mnonbbL75orG90,587,0.0121096,0.000503347
EwkWhAllHad2016__VR3_mbbL105orG135_mnonbbL75orG90,799,0.0162988,0.000580152
EwkWhAllHad2016__VR1_mbbG135,32,0.00063977,0.000113368
EwkWhAllHad2016__VR2_mbbG135,45,0.000908346,0.000136003
EwkWhAllHad2016__VR3_mbbG135,71,0.00142987,0.000170646
