SR,events,acceptance,err
EwkWhAllHad2016__All,50000,51368.1,53189.9
EwkWhAllHad2016__loose_inclb,17741,0.359229,0.0027118
EwkWhAllHad2016__loose_Geq2b,13938,0.280961,0.00239159
EwkWhAllHad2016__loose_Eq2b,13383,0.269681,0.00234256
EwkWhAllHad2016__SR1,947,0.0185044,0.000601778
EwkWhAllHad2016__SR2,1141,0.0223197,0.00066133
EwkWhAllHad2016__SR3,1718,0.0335756,0.000810639
EwkWhAllHad2016__CR1_ttbar,1,1.94673e-05,1.94673e-05
EwkWhAllHad2016__CR2_ttbar,1,1.94673e-05,1.94673e-05
EwkWhAllHad2016__CR3_ttbar,7,0.000140671,5.33245e-05
EwkWhAllHad2016__CR1_singletop,0,0,0
EwkWhAllHad2016__CR2_singletop,0,0,0
EwkWhAllHad2016__CR3_singletop,0,0,0
EwkWhAllHad2016__CR1_Zjets,0,0,0
EwkWhAllHad2016__CR2_Zjets,0,0,0
EwkWhAllHad2016__CR3_Zjets,0,0,0
EwkWhAllHad2016__VR1_ttbar_mbb_mct,5,0.000106065,4.76971e-05
EwkWhAllHad2016__VR2_ttbar_mbb_mct,5,0.000106065,4.76971e-05
EwkWhAllHad2016__VR3_ttbar_mbb_mct,27,0.000536896,0.000103529
EwkWhAllHad2016__VR1_mbbL105orG135_mnonbbL75orG90,495,0.0100811,0.000455147
EwkWhAllHad2016__VR2_mbbL105orG135_mnonbbL75orG90,753,0.015563,0.000570342
EwkWhAllHad2016__VR3_mbbL105orG135_mnonbbL75orG90,997,0.0203125,0.000646267
EwkWhAllHad2016__VR1_mbbG135,52,0.00105384,0.000146668
EwkWhAllHad2016__VR2_mbbG135,66,0.00134501,0.000166157
EwkWhAllHad2016__VR3_mbbG135,79,0.00160701,0.000181414
